"forum_post_id","anon_screen_name","type","anonymous","anonymous_to_peers","at_position_list","forum_uid","body","course_display_name","created_at","votes","count","down_count","up_count","up","down","comment_thread_id","parent_id","parent_ids","sk","confusion","happiness"

"53c3152255ffd70fdd000019","<anon_screen_name_redacted>","CommentThread","False","False","[]","66D1BD6B0A75582E20D8482DE9F7309C","Welcome to the discussion forum - we want this to be a useful place for us to discuss anything related to the course. It's always a treat for me when I go to the forums to address a question, but find that other students have already provided great answers.

Here's the standard advice for forums:

(1) Search before you post - someone might have already posted an answer to your question, and it will be easier for everyone if there aren't a lot of duplicate postings.

(2) Use the sub-forums, e.g. discuss exercise questions (without posting solutions!) in the \"Exercises\" forum.

(3) Let’s follow the golden rule in all posts – write to others as you would like them to write to you. We try to interpret each other charitably, treat each other with respect, and be civil and professional in all our posts.

Looking forward to a nice summer course with you all!

<nameRedac_<anon_screen_name_redacted>> <nameRedac_<anon_screen_name_redacted>>","Engineering/CS101/Summer2014","2014-07-13 23:24:18","{u'count': 52, u'point': 52, u'down_count': 0, u'up': [u'500137', u'498274', u'479603', u'324019', u'431159', u'501380', u'367723', u'432004', u'7596', u'462134', u'476734', u'492083', u'501925', u'44",52,0,52,"['500137', '498274', '479603', '324019', '431159', '501380', '367723', '432004', '7596', '462134', '476734', '492083', '501925', '449395', '415985', '449153', '393925', '464520', '460511', '468136', '","[]","None","None","None","None","",""
"53c47d2c7c640cdeba000013","<anon_screen_name_redacted>","Comment","False","False","[]","704437805CE61515F56B060EC7158929","I have gone through a previous version of this course and found it *incredibly* useful and fun.  Will thoroughly enjoy going through it again in a live environment.  Thanks for creating these videos and making them available to the public!","Engineering/CS101/Summer2014","2014-07-15 01:00:28","{u'count': 36, u'point': 36, u'down_count': 0, u'up': [u'463527', u'479603', u'500424', u'496579', u'431159', u'368496', u'379983', u'465437', u'372019', u'426674', u'316453', u'501501', u'495619', u'",36,0,36,"['463527', '479603', '500424', '496579', '431159', '368496', '379983', '465437', '372019', '426674', '316453', '501501', '495619', '478225', '455018', '460932', '122271', '457180', '370607', '513794',","[]","53c3152255ffd70fdd000019","None","[]","53c47d2c7c640cdeba000013","",""
"53c493667c640c6f05000010","<anon_screen_name_redacted>","Comment","False","False","[]","EB356FA404679081399722BC2DD387E7","Nice to meet you. Thanks for the advice. I like it a lot already.","Engineering/CS101/Summer2014","2014-07-15 02:35:18","{u'count': 0, u'point': 0, u'down_count': 0, u'up': [], u'down': [], u'up_count': 0}",0,0,0,"[]","[]","53c3152255ffd70fdd000019","53c47d2c7c640cdeba000013","[ObjectId('53c47d2c7c640cdeba000013')]","53c47d2c7c640cdeba000013-53c493667c640c6f05000010","",""
"53c499dc128e68162300004c","<anon_screen_name_redacted>","CommentThread","False","False","[]","EB356FA404679081399722BC2DD387E7","Welcome anyone who wants to talk!
I enjoyed week one of this course.
How about you?","Engineering/CS101/Summer2014","2014-07-15 03:02:52","{u'count': 1, u'point': 1, u'down_count': 0, u'up': [u'476734'], u'down': [], u'up_count': 1}",1,0,1,"['476734']","[]","None","None","None","None","",""
"53c49d1d7c640c6f05000015","<anon_screen_name_redacted>","Comment","False","False","[]","84D042FFEC7117F79706ACD5C0F0F7D0","I just love the videos they are very great and conceptual. Other than this my main concern is that does getting a statement of accomplishment in courses like these give us edge in our applications when we apply to universities ?","Engineering/CS101/Summer2014","2014-07-15 03:16:45","{u'count': 3, u'point': 3, u'down_count': 0, u'up': [u'500517', u'496579', u'462134'], u'down': [], u'up_count': 3}",3,0,3,"['500517', '496579', '462134']","[]","53c499dc128e68162300004c","None","[]","53c49d1d7c640c6f05000015","",""
